Post ID,Survey,Post Status,Created (UTC),Updated (UTC),Post Date (UTC),Contact ID,Contact,Data Source ID,Source,Unstructured Description,T铆tulo de la iniciativa,Descripci贸n detallada,Ubicaci贸n aproximada (si aplica).lat,Ubicaci贸n aproximada (si aplica).lon,Direcci贸n o referencias,驴Es un ofrecimiento individual o de grupo?,Tareas realizadas y pendientes sobre este posteo,,Sector,Foto / Volante,Video (opcional),(Oferente) Nombre de la organizaci贸n o persona referente,(Oferente) Email,(Oferente) Tel茅fono,"(Oferente) Web, Twitter, Grupo Whatsapp, Telegram, y otras redes",(Oferente) Informaci贸n adicional de la organizaci贸n o 谩reas en las que requiere apoyo,Fuente,Link a la fuente,Conexiones o colaboraciones,Acuerdo de consentimiento,Inicio de vigencia de la iniciativa,Fin de vigencia de la iniciativa,ODS Relacionados
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 520 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.236,-57.420367,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 766,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 600 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.22006,-57.420329,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 767,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 720 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.2292066,-57.3965252,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 768,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:4 - Alcance: 1600 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.2378611,-57.4369665,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 769,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.2613056,-57.4779736,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 770,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:4 - Alcance: 944 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.2585405,-57.5399738,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 771,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 560 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.2489643,-57.5573509,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 772,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:4 - Alcance: 800 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.2171307,-57.4917002,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 773,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 128 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.2557503,-57.4840722,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 774,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 148 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.2181346,-57.475137,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 775,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 400 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.5336884,-57.5491992,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 776,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 1880 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.5076667,-57.517272,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 777,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 372 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.1841755,-57.542903,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 778,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 544 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.1821018,-57.5367992,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 779,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 696 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.1873345,-57.4417993,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 780,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 1208 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.43375,-57.4350858,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 781,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
